Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteColletion,Chrome 66.0.3359.181,Test1 and Test2,2018-05-30 11:09:17,2018-05-30 11:09:36,19.657s,PASSED
,,,,,,
Test Cases/TestsByTom/Test1ByTom,Chrome 66.0.3359.181,,2018-05-30 11:09:17,2018-05-30 11:09:25,8.211s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-30 11:09:17,2018-05-30 11:09:22,4.606s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-30 11:09:22,2018-05-30 11:09:24,2.559s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-30 11:09:24,2018-05-30 11:09:25,0.747s,PASSED
,,,,,,
Test Cases/TestsByKim/Test2ByKim,Chrome 66.0.3359.181,,2018-05-30 11:09:25,2018-05-30 11:09:31,5.786s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-30 11:09:25,2018-05-30 11:09:30,4.956s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-30 11:09:30,2018-05-30 11:09:31,0.687s,PASSED
,,,,,,
Test Cases/TestsByTom/Test2ByTom,Chrome 66.0.3359.181,,2018-05-30 11:09:31,2018-05-30 11:09:36,5.284s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-30 11:09:31,2018-05-30 11:09:34,3.253s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-30 11:09:34,2018-05-30 11:09:36,1.213s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-30 11:09:36,2018-05-30 11:09:36,0.695s,PASSED
