Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteUseXlsxFile,Firefox 61.0,,2018-08-17 11:21:16,2018-08-17 11:21:46,30.491s,PASSED
,,,,,,
Test Cases/Environments/TC1EnvUseXlsxFile,Firefox 61.0,,2018-08-17 11:21:16,2018-08-17 11:21:33,16.928s,PASSED
openBrowser,Firefox 61.0,,2018-08-17 11:21:16,2018-08-17 11:21:20,3.596s,PASSED
navigateToUrl,Firefox 61.0,,2018-08-17 11:21:20,2018-08-17 11:21:22,2.235s,PASSED
setText,Firefox 61.0,,2018-08-17 11:21:22,2018-08-17 11:21:22,0.118s,PASSED
setText,Firefox 61.0,,2018-08-17 11:21:22,2018-08-17 11:21:22,0.051s,PASSED
click,Firefox 61.0,,2018-08-17 11:21:22,2018-08-17 11:21:26,3.652s,PASSED
click,Firefox 61.0,,2018-08-17 11:21:26,2018-08-17 11:21:28,2.783s,PASSED
click,Firefox 61.0,,2018-08-17 11:21:28,2018-08-17 11:21:32,3.088s,PASSED
click,Firefox 61.0,,2018-08-17 11:21:32,2018-08-17 11:21:33,0.979s,PASSED
closeBrowser,Firefox 61.0,,2018-08-17 11:21:33,2018-08-17 11:21:33,0.221s,PASSED
,,,,,,
Test Cases/Environments/TC1EnvUseXlsxFile,Firefox 61.0,,2018-08-17 11:21:33,2018-08-17 11:21:46,13.244s,PASSED
openBrowser,Firefox 61.0,,2018-08-17 11:21:33,2018-08-17 11:21:35,2.314s,PASSED
navigateToUrl,Firefox 61.0,,2018-08-17 11:21:35,2018-08-17 11:21:37,1.931s,PASSED
setText,Firefox 61.0,,2018-08-17 11:21:37,2018-08-17 11:21:37,0.072s,PASSED
setText,Firefox 61.0,,2018-08-17 11:21:37,2018-08-17 11:21:37,0.059s,PASSED
click,Firefox 61.0,,2018-08-17 11:21:37,2018-08-17 11:21:40,2.986s,PASSED
click,Firefox 61.0,,2018-08-17 11:21:40,2018-08-17 11:21:43,2.463s,PASSED
click,Firefox 61.0,,2018-08-17 11:21:43,2018-08-17 11:21:45,2.544s,PASSED
click,Firefox 61.0,,2018-08-17 11:21:45,2018-08-17 11:21:46,0.632s,PASSED
closeBrowser,Firefox 61.0,,2018-08-17 11:21:46,2018-08-17 11:21:46,0.216s,PASSED
