Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteWithExcelFile,Chrome 68.0.3440.106,,2018-08-17 11:07:32,2018-08-17 11:07:53,20.808s,PASSED
,,,,,,
Test Cases/Environments/TC1EnvWithExcelFile,Chrome 68.0.3440.106,,2018-08-17 11:07:32,2018-08-17 11:07:53,20.456s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-17 11:07:33,2018-08-17 11:07:35,2.858s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-17 11:07:35,2018-08-17 11:07:42,6.309s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-17 11:07:42,2018-08-17 11:07:42,0.207s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-17 11:07:42,2018-08-17 11:07:42,0.145s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 11:07:42,2018-08-17 11:07:45,3.332s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 11:07:45,2018-08-17 11:07:48,2.800s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 11:07:48,2018-08-17 11:07:51,2.725s,PASSED
click,Chrome 68.0.3440.106,,2018-08-17 11:07:51,2018-08-17 11:07:52,1.133s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-17 11:07:52,2018-08-17 11:07:53,0.739s,PASSED
